table_name,column_name,foreign_table_name,foreign_column_name
users_ops_dashboard_projects,user_id,users,id
users_ops_dashboard_projects,project_id,projects,id
cluster_groups,group_id,namespaces,id
cluster_groups,cluster_id,clusters,id
board_group_recent_visits,user_id,users,id
board_group_recent_visits,board_id,boards,id
board_group_recent_visits,group_id,namespaces,id
clusters_applications_knative,cluster_id,clusters,id
pool_repositories,shard_id,shards,id
pool_repositories,source_project_id,projects,id
project_tracing_settings,project_id,projects,id
smartcard_identities,user_id,users,id
clusters_applications_cert_managers,cluster_id,clusters,id
project_repositories,project_id,projects,id
project_repositories,shard_id,shards,id
gitlab_subscriptions,hosted_plan_id,plans,id
gitlab_subscriptions,namespace_id,namespaces,id
reviews,author_id,users,id
reviews,merge_request_id,merge_requests,id
reviews,project_id,projects,id
suggestions,note_id,notes,id
release_links,release_id,releases,id
approval_project_rules,project_id,projects,id
approval_merge_request_rules,merge_request_id,merge_requests,id
approval_merge_request_rules_approved_approvers,approval_merge_request_rule_id,approval_merge_request_rules,id
approval_merge_request_rules_approved_approvers,user_id,users,id
approval_merge_request_rules_users,approval_merge_request_rule_id,approval_merge_request_rules,id
approval_merge_request_rules_users,user_id,users,id
approval_merge_request_rules_groups,group_id,namespaces,id
approval_merge_request_rules_groups,approval_merge_request_rule_id,approval_merge_request_rules,id
approval_project_rules_users,approval_project_rule_id,approval_project_rules,id
approval_project_rules_users,user_id,users,id
approval_project_rules_groups,group_id,namespaces,id
approval_project_rules_groups,approval_project_rule_id,approval_project_rules,id
approval_merge_request_rule_sources,approval_project_rule_id,approval_project_rules,id
approval_merge_request_rule_sources,approval_merge_request_rule_id,approval_merge_request_rules,id
project_error_tracking_settings,project_id,projects,id
project_feature_usages,project_id,projects,id
operations_feature_flag_scopes,feature_flag_id,operations_feature_flags,id
project_alerting_settings,project_id,projects,id
project_daily_statistics,project_id,projects,id
project_incident_management_settings,project_id,projects,id
insights,namespace_id,namespaces,id
insights,project_id,projects,id
design_management_designs,project_id,projects,id
design_management_designs,issue_id,issues,id
scim_oauth_access_tokens,group_id,namespaces,id
design_management_versions,author_id,users,id
design_management_versions,issue_id,issues,id
merge_request_assignees,merge_request_id,merge_requests,id
merge_request_assignees,user_id,users,id
elasticsearch_indexed_namespaces,namespace_id,namespaces,id
elasticsearch_indexed_projects,project_id,projects,id
design_management_designs_versions,design_id,design_management_designs,id
design_management_designs_versions,version_id,design_management_versions,id
dependency_proxy_blobs,group_id,namespaces,id
dependency_proxy_group_settings,group_id,namespaces,id
jira_connect_subscriptions,namespace_id,namespaces,id
jira_connect_subscriptions,jira_connect_installation_id,jira_connect_installations,id
project_metrics_settings,project_id,projects,id
merge_trains,user_id,users,id
merge_trains,merge_request_id,merge_requests,id
merge_trains,target_project_id,projects,id
merge_trains,pipeline_id,ci_pipelines,id
merge_request_blocks,blocked_merge_request_id,merge_requests,id
merge_request_blocks,blocking_merge_request_id,merge_requests,id
pages_domain_acme_orders,pages_domain_id,pages_domains,id
issue_tracker_data,service_id,services,id
jira_tracker_data,service_id,services,id
ip_restrictions,group_id,namespaces,id
namespace_root_storage_statistics,namespace_id,namespaces,id
namespace_aggregation_schedules,namespace_id,namespaces,id
project_aliases,project_id,projects,id
geo_container_repository_updated_events,container_repository_id,container_repositories,id
ci_job_variables,job_id,ci_builds,id
